miner,cut_type,logP_Name,logM_Name,trace_variants_P,trace_variants_M
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14,501.0,385.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_15.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_15,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_15,338.0,179.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_16.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_16,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_16,202.0,160.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17,191.0,34.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_24.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_24,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_24,213.0,73.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_28.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_28,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_28,90.0,116.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_29.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_29,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_29,228.0,201.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_3.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_3,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_3,186.0,92.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_30.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_30,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_30,228.0,209.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_4.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_4,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_4,235.0,197.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_5.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_5,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_5,197.0,228.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8,177.0,179.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_9.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_9,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_9,281.0,186.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1,295.0,171.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10,119.0,160.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11,90.0,124.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12,42.0,9.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_13.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_13,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_13,336.0,352.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15,86.0,126.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_16.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_16,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_16,145.0,84.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17,148.0,118.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_18.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_18,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_18,235.0,166.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_2.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_2,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_2,129.0,234.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21,71.0,46.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22,13.0,13.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23,56.0,45.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24,112.0,92.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_25.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_25,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_25,62.0,102.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_26.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_26,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_26,284.0,122.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27,14.0,14.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29,175.0,12.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_3.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_3,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_3,19.0,18.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_30.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_30,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_30,323.0,88.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_4.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_4,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_4,141.0,84.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_5.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_5,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_5,280.0,173.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_6.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_6,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_6,213.0,209.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_7.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_7,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_7,165.0,125.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9,235.0,229.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_1.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_1,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_1,268.0,212.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10,215.0,223.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_11.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_11,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_11,124.0,93.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_12.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_12,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_12,16.0,15.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_13.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_13,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_13,91.0,118.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_14.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_14,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_14,93.0,173.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15,57.0,56.0
GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17.xes,exc,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17,GNN_partitioning\GNN_Data\exc\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17,129.0,177.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11,135.0,56.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12,258.0,137.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_13.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_13,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_13,379.0,250.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14,226.0,95.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17,349.0,255.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_18.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_18,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_18,495.0,460.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_19.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_19,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_19,522.0,521.0
